Ano;Beta Alavancado;Premio Risco Mercado;Risco Pais;Taxa Livre Risco
2018;0.010501;0.0854;0.0346;0.0226
2019;0.0091;0.1013;0.0417;0.0257
2020;0.011437;0.0816;0.0296;0.0156
2021;0.00899;0.0763;0.0291;0.0192
2022;0.011155;0.0721;0.0297;0.0272
